"ticker","sector","cumulative_return_1y","return_6m","return_3m","daily_volatility","sharpe_ratio","avg_volume","bb_position","current_price","latest_date","sector_rank","sector_size"
"TTI","Energy",1.56541000169589,2.4744744624341,0.634180765466429,0.0409156486149315,0.980032689391981,1530954.98007968,1.04550829909472,11.5699996948242,2026-01-16,1,90
"PARR","Energy",1.05175294049592,0.155075151746852,0.0828193761530207,0.0319578186930687,0.627835906735961,889447.330677288,0.564954763855196,36.8699989318848,2026-01-16,2,90
"BTU","Energy",0.991521431739106,1.35368433763337,0.0995460873393121,0.0467511945230521,0.976237504189888,4789346.45418328,0.999479614155473,36.3600006103516,2026-01-16,3,90
"HCC","Energy",0.883009668596329,0.90871589992305,0.504484246552638,0.0317989647511226,0.87082220899078,781806.055776892,0.835894390066844,100.069999694824,2026-01-16,4,90
"WWD","Energy",0.818245126914432,0.291643563653363,0.350042021390953,0.0193941480366474,0.814684083974474,392526.772908366,0.849589964344058,333.059997558594,2026-01-16,5,90
"POWL","Energy",0.773150829731961,0.843478709328273,0.24240419238927,0.0391986416842203,1.16816695930945,187218.565737051,1.03567021607192,419.980010986328,2026-01-16,6,90
"GEL","Energy",0.722234299847708,0.0325625273814785,0.154477140899656,0.0271502013605702,0.800964939134404,569952.828685261,1.10589085198693,17.1499996185303,2026-01-16,7,90
"EC","Energy",0.584173381440028,0.385746582415367,0.362625173735277,0.0232183416642363,0.437930188921082,1837581.59362551,1.02280120116474,12.25,2026-01-16,8,90
"IMO","Energy",0.482865299379232,0.190377915965614,0.157061915491572,0.0208416901460056,1.16733923808938,500074.023904382,0.98374757864411,97.9800033569336,2026-01-16,9,90
"THR","Energy",0.435162547967051,0.482310478064184,0.519615125006159,0.0228025507178805,0.677391018233354,165586.055776892,0.934852797670595,41.060001373291,2026-01-16,10,90
"SII","Finance",1.91021089285889,0.549105394047878,0.322770444160965,0.0219980278120464,1.03777138138469,107976.334661355,1.04420283814015,116.879997253418,2026-01-16,1,344
"CIB","Finance",1.8591723487416,0.64853098459784,0.345231719989441,0.0203024233460932,0.930335550782578,307831.633466135,0.993043259485504,75.75,2026-01-16,2,344
"SAN","Finance",1.58595178393006,0.449052150507443,0.235353536715788,0.0206425595204342,1.07469641324266,4568871.1553785,0.914969502573127,12.2299995422363,2026-01-16,3,344
"BBVA","Finance",1.36088266337578,0.650643087688704,0.251540027396107,0.0206519000634146,1.31316289295133,1889311.31474103,0.854040312054986,24.3799991607666,2026-01-16,4,344
"HRTG","Finance",1.31150446003088,0.214883759964344,0.0910609965139499,0.0443648572251565,0.628304515598101,292166.294820717,0.232271339622234,26.1200008392334,2026-01-16,5,344
"AAMI","Finance",1.22872255762448,0.359269502926546,0.191009941681113,0.0218679038811695,0.71912113096999,374556.095617528,0.991383252758225,54.4300003051758,2026-01-16,6,344
"PUK","Finance",1.22219065960806,0.309044493780366,0.196568536743425,0.0219221965565765,0.12596743880223,712893.098804777,0.774131917163051,32.0800018310547,2026-01-16,7,344
"RKT","Finance",1.21647844248335,0.661186572647146,0.404229658154706,0.0402770875073695,0.402086147810069,8308922.15139446,0.860353298767192,23.2399997711182,2026-01-16,8,344
"FUTU","Finance",1.21277697581568,0.0699383148489483,0.0970625565505718,0.0490677886808397,0.55717198958108,3640077.29083665,0.470170780987127,171.800003051758,2026-01-16,9,344
"DB","Finance",1.1918180784967,0.299031094944283,0.107692386276914,0.0234505154183083,0.921564433722262,3514635.53784861,0.444704927875195,38.8800010681152,2026-01-16,10,344
"ARWR","Health Care",2.53684226321243,2.80906916949649,0.638183170460676,0.0410288755611741,0.244655537838665,1227423.50597611,0.118647265193813,63.8400001525879,2026-01-16,1,180
"LQDA","Health Care",2.33890857847703,1.60866577748889,0.636324409223866,0.0461464542058002,1.06324553630883,1072494.98007968,0.799508570412254,37.9300003051758,2026-01-16,2,180
"ANAB","Health Care",2.06371567891762,0.762345685598745,0.32790692671368,0.0419489093383858,0.512963995915836,375406.772908368,0.317286527271737,45.6800003051758,2026-01-16,3,180
"RVMD","Health Care",2.01983412628208,2.14047000457664,1.42109496860784,0.0385134097103201,0.63983236606944,1314806.93227091,0.850522455934273,120.279998779297,2026-01-16,4,180
